SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE https://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
MLS Listing,,Single Family Residential,4903 Jenni Lin Ct,Valrico,FL,33596,799000,4,2.5,RIVER HILLS COUNTRY CLUB,2912,14364,1990,110,274,223,Active,August-29-2026 11:00 AM,August-29-2026 03:00 PM,https://www.redfin.com/FL/Valrico/4903-Jenni-Lin-Ct-33596/home/47250145,MARMLS,A12015249,Y,Y,27.8837733,-82.2145798
MLS Listing,,Single Family Residential,4810 Water Lark Way,Valrico,FL,33596,525000,4,3.0,TWIN LAKES PARCELS A2 & B2,2917,11520,2000,134,180,99,Active,,,https://www.redfin.com/FL/Valrico/4810-Water-Lark-Way-33596/home/47367605,Stellar MLS as Distributed by MLS Grid,TB8496904,Y,Y,27.895867,-82.2131807
MLS Listing,,Single Family Residential,3903 Powerline Rd,Lithia,FL,33547,408000,4,1.0,UNPLATTED,2250,92347,1989,27,181,,Active,,,https://www.redfin.com/FL/Lithia/3903-Powerline-Rd-33547/home/47251180,Stellar MLS as Distributed by MLS Grid,TB8534733,Y,Y,27.8680816,-82.1830822
MLS Listing,,Single Family Residential,11204 Coventry Grove Cir,Lithia,FL,33547,479000,4,2.0,CHANNING PARK,2237,8438,2013,129,214,164,Active,,,https://www.redfin.com/FL/Lithia/11204-Coventry-Grove-Cir-33547/home/47058179,Stellar MLS as Distributed by MLS Grid,TB8488331,Y,Y,27.8330853,-82.2043575
MLS Listing,,Single Family Residential,5954 Caldera Ridge Dr,Lithia,FL,33547,635000,5,4.5,FISHHAWK RANCH WEST PH 1B/1C,3296,6952,2017,28,193,103,Contingent,,,https://www.redfin.com/FL/Lithia/5954-Caldera-Ridge-Dr-33547/home/64131057,Stellar MLS as Distributed by MLS Grid,TB8533576,Y,Y,27.8455547,-82.2546999
MLS Listing,,Single Family Residential,12307 Breton Oak Ln,Riverview,FL,33569,585000,4,3.0,RIVERGLEN UNIT 6 PH 2 & U,2989,18368,2000,57,196,104,Contingent,,,https://www.redfin.com/FL/Riverview/12307-Breton-Oak-Ln-33569/home/47365977,Stellar MLS as Distributed by MLS Grid,TB8524854,Y,Y,27.8616445,-82.2957347
MLS Listing,,Single Family Residential,1009 Emerald Creek Dr,Valrico,FL,33596,850000,4,3.0,EMERALD CREEK,3784,19080,2006,65,225,41,Active,,,https://www.redfin.com/FL/Valrico/1009-Emerald-Creek-Dr-33596/home/47222127,Stellar MLS as Distributed by MLS Grid,TB8521781,Y,Y,27.8655478,-82.2680012
MLS Listing,,Single Family Residential,6302 Bridgevista Dr,Lithia,FL,33547,579000,4,3.0,FISHHAWK RANCH PH 2 PRCL,2910,8251,2005,112,199,10,Active,,,https://www.redfin.com/FL/Lithia/6302-Bridgevista-Dr-33547/home/46993818,Stellar MLS as Distributed by MLS Grid,TB8505699,Y,Y,27.8366079,-82.2138888
MLS Listing,,Single Family Residential,11321 Scribner Station Ln,Lithia,FL,33547,565000,4,3.0,CHANNING PARK,2585,8643,2012,121,219,133,Active,,,https://www.redfin.com/FL/Lithia/11321-Scribner-Station-Ln-33547/home/47058190,Stellar MLS as Distributed by MLS Grid,TB8502499,Y,Y,27.8334584,-82.2053685
MLS Listing,,Single Family Residential,1022 Emerald Creek Dr,Valrico,FL,33596,799000,5,4.0,EMERALD CREEK,3144,27853,2007,165,254,41,Contingent,,,https://www.redfin.com/FL/Valrico/1022-Emerald-Creek-Dr-33596/home/47222117,Stellar MLS as Distributed by MLS Grid,TB8484278,Y,Y,27.8646565,-82.2670163
MLS Listing,,Single Family Residential,4110 Helene Pl,Valrico,FL,33594,489000,3,2.0,PARKWOOD MANOR 1ST ADD,2061,15000,1977,77,237,,Contingent,,,https://www.redfin.com/FL/Valrico/4110-Helene-Pl-33594/home/47245700,Stellar MLS as Distributed by MLS Grid,TB8513103,Y,Y,27.9132151,-82.2316277
PAST SALE,August-26-2026,Single Family Residential,2327 Eagle Bluff Dr,Valrico,FL,33596,522500,4,2.5,BLOOMINGDALE SEC U V PH,2452,9600,1991,,213,22,Sold,,,https://www.redfin.com/FL/Valrico/2327-Eagle-Bluff-Dr-33596/home/47249161,Stellar MLS as Distributed by MLS Grid,TB8512329,Y,Y,27.8822653,-82.2460535
PAST SALE,August-21-2026,Single Family Residential,6105 Audubon Manor Blvd,Lithia,FL,33547,835000,4,3.0,FISH HAWK TRAILS UNIT 4 PH,3162,22914,2002,,264,154,Sold,,,https://www.redfin.com/FL/Lithia/6105-Audubon-Manor-Blvd-33547/home/47367422,Stellar MLS as Distributed by MLS Grid,TB8532375,Y,Y,27.8595602,-82.1856504
MLS Listing,,Single Family Residential,403 Weeburn Rd,Temple Terrace,FL,33617,739000,3,2.5,TEMPLE TERRACE ESTATES REP,2981,14900,1976,35,248,,Contingent,,,https://www.redfin.com/FL/Temple-Terrace/403-Weeburn-Rd-33617/home/47347889,Stellar MLS as Distributed by MLS Grid,TB8532108,Y,Y,28.0406099,-82.3727046
MLS Listing,,Single Family Residential,62 Camelot Ridge Dr,Brandon,FL,33511,719000,4,3.5,CAMELOT WOODS PH 02,3340,14750,2004,111,215,65,Active,,,https://www.redfin.com/FL/Brandon/62-Camelot-Ridge-Dr-33511/home/47372889,Stellar MLS as Distributed by MLS Grid,TB8505779,Y,Y,27.8804237,-82.2881327
PAST SALE,August-21-2024,Single Family Residential,113 Brookover Ln,Brandon,FL,33511,830000,4,3.0,HIDDEN RESERVE,2992,13618,2022,57,277,190,Pending,,,https://www.redfin.com/FL/Brandon/113-Brookover-Ln-33511/home/110281795,Stellar MLS as Distributed by MLS Grid,L4962451,Y,Y,27.8834974,-82.2875694
